slug,name,location,region,city,lat,lng,country,country_slug,url,day,time,distance,type
aintreereserve-juniors,Aintree Reserve junior parkrun,Aintree Reserve juniors,Victoria,Rockbank,-37.712657,144.673299,Australia,australia,https://www.parkrun.com.au/aintreereserve-juniors/,Sunday,,2 km,junior parkrun
aintreereserve,Aintree Reserve parkrun,Aintree Reserve,Victoria,Rockbank,-37.712795,144.673619,Australia,australia,https://www.parkrun.com.au/aintreereserve/,Saturday,,5 km,parkrun
airliebeach,Airlie Beach parkrun,Coral Sea Marina,Queensland,Proserpine,-20.267153,148.711122,Australia,australia,https://www.parkrun.com.au/airliebeach/,Saturday,,5 km,parkrun
albertmelbourne,"Albert parkrun, Melbourne","Albert Park, Melbourne, Australia",Victoria,Middle Park,-37.843521,144.96312,Australia,australia,https://www.parkrun.com.au/albertmelbourne/,Saturday,,5 km,parkrun
alburywodonga,Albury Wodonga parkrun,Hovell Tree Park,New South Wales,West Albury,-36.0873,146.88886,Australia,australia,https://www.parkrun.com.au/alburywodonga/,Saturday,,5 km,parkrun
aldingabeach,Aldinga Beach parkrun,The Esplanade,South Australia,Port Willunga,-35.287768,138.444983,Australia,australia,https://www.parkrun.com.au/aldingabeach/,Saturday,,5 km,parkrun
alicespringstelegraphstation,Alice Springs Telegraph Station parkrun,Alice Springs Telegraph Station,Northern Territory,Alice Springs,-23.673314,133.887883,Australia,australia,https://www.parkrun.com.au/alicespringstelegraphstation/,Saturday,,5 km,parkrun
altonabeach,Altona Beach parkrun,Apex Park,Victoria,Altona,-37.875236,144.811911,Australia,australia,https://www.parkrun.com.au/altonabeach/,Saturday,,5 km,parkrun
ansteyhillrecreation,Anstey Hill Recreation parkrun,Anstey Hill Recreation,South Australia,Hope Valley,-34.825885,138.728048,Australia,australia,https://www.parkrun.com.au/ansteyhillrecreation/,Saturday,,5 km,parkrun
aplinsweir,Aplins Weir parkrun,Aplins Weir,Queensland,Townsville,-19.302328,146.782361,Australia,australia,https://www.parkrun.com.au/aplinsweir/,Saturday,,5 km,parkrun
applecross,Applecross parkrun,Jeff Joseph Reserve,Western Australia,Applecross,-32.006932,115.834885,Australia,australia,https://www.parkrun.com.au/applecross/,Saturday,,5 km,parkrun
ararat,Ararat parkrun,Alexandra Gardens,Victoria,Ararat,-37.279712,142.928756,Australia,australia,https://www.parkrun.com.au/ararat/,Saturday,,5 km,parkrun
armidale,Armidale parkrun,SportUNE,New South Wales,Armidale,-30.491998,151.639419,Australia,australia,https://www.parkrun.com.au/armidale/,Saturday,,5 km,parkrun
ashgrove,Ashgrove parkrun,Ashgrove Sportsground,Queensland,Everton Park,-27.442334,152.972975,Australia,australia,https://www.parkrun.com.au/ashgrove/,Saturday,,5 km,parkrun
atherton,Atherton parkrun,Atherton Tablelands railtrail,Queensland,Atherton,-17.275414,145.471686,Australia,australia,https://www.parkrun.com.au/atherton/,Saturday,,5 km,parkrun
auburnbotanicgardens,Auburn Botanic Gardens parkrun,Auburn Botanic Gardens,New South Wales,Auburn,-33.859877,151.015305,Australia,australia,https://www.parkrun.com.au/auburnbotanicgardens/,Saturday,,5 km,parkrun
aurora,Aurora parkrun,Aurora Town Centre Park,Victoria,Epping,-37.622365,145.00465,Australia,australia,https://www.parkrun.com.au/aurora/,Saturday,,5 km,parkrun
aubotanicgardenmountannan,Australian Botanic Garden Mount Annan parkrun,Australian Botanic Garden Mount Annan,New South Wales,Glen Alpine,-34.066408,150.766217,Australia,australia,https://www.parkrun.com.au/aubotanicgardenmountannan/,Saturday,,5 km,parkrun
australianstandingstones,Australian Standing Stones parkrun,Australian Standing Stones,New South Wales,Glen Innes,-29.741602,151.752481,Australia,australia,https://www.parkrun.com.au/australianstandingstones/,Saturday,,5 km,parkrun
aveley,Aveley parkrun,Central Park,Western Australia,Henley Brook,-31.789954,115.988052,Australia,australia,https://www.parkrun.com.au/aveley/,Saturday,,5 km,parkrun
avondaleuniversitycollege,Avondale University College parkrun,Avondale University College,New South Wales,Cooranbong,-33.088354,151.463247,Australia,australia,https://www.parkrun.com.au/avondaleuniversitycollege/,Saturday,,5 km,parkrun
bairnsdale,Bairnsdale parkrun,Bairnsdale,Victoria,Bairnsdale,-37.823487,147.632774,Australia,australia,https://www.parkrun.com.au/bairnsdale/,Saturday,,5 km,parkrun
ballpark,Ball Park parkrun,Ball Park,New South Wales,Corowa,-36.000667,146.393936,Australia,australia,https://www.parkrun.com.au/ballpark/,Saturday,,5 km,parkrun
ballinacoast,Ballina Coast parkrun,Ballina,New South Wales,East Ballina,-28.869637,153.576356,Australia,australia,https://www.parkrun.com.au/ballinacoast/,Saturday,,5 km,parkrun
balyangsanctuary,Balyang Sanctuary parkrun,Balyang Sanctuary,Victoria,Wandana Heights,-38.166457,144.331179,Australia,australia,https://www.parkrun.com.au/balyangsanctuary/,Saturday,,5 km,parkrun
bannockburnbush,Bannockburn Bush parkrun,Bannockburn,Victoria,Bell Post Hill,-38.063066,144.142907,Australia,australia,https://www.parkrun.com.au/bannockburnbush/,Saturday,,5 km,parkrun
bargara,Bargara parkrun,Nielson Park,Queensland,Bundaberg,-24.806914,152.456905,Australia,australia,https://www.parkrun.com.au/bargara/,Saturday,,5 km,parkrun
baringa,Baringa parkrun,Baringa Sports Grounds,Queensland,Little Mountain,-26.806829,153.080945,Australia,australia,https://www.parkrun.com.au/baringa/,Saturday,,5 km,parkrun
batemansbay,Batemans Bay parkrun,Batemans Bay,New South Wales,Batemans Bay,-35.712112,150.185995,Australia,australia,https://www.parkrun.com.au/batemansbay/,Saturday,,5 km,parkrun
bathurst,Bathurst parkrun,Bicentennial Park,New South Wales,Bathurst,-33.414176,149.586917,Australia,australia,https://www.parkrun.com.au/bathurst/,Saturday,,5 km,parkrun
baxter,Baxter parkrun,Baxter Park,Western Australia,Carnarvon,-24.891447,113.654841,Australia,australia,https://www.parkrun.com.au/baxter/,Saturday,,5 km,parkrun
bayviewroad,Bayview Road parkrun,Bayview Road,Western Australia,Millars Well,-20.729535,116.806181,Australia,australia,https://www.parkrun.com.au/bayviewroad/,Saturday,,5 km,parkrun
beaufortlake,Beaufort Lake parkrun,Beaufort Lake,Victoria,Delacombe,-37.439405,143.382552,Australia,australia,https://www.parkrun.com.au/beaufortlake/,Saturday,,5 km,parkrun
bega,Bega parkrun,Bega Racecourse,New South Wales,Bega,-36.667479,149.843541,Australia,australia,https://www.parkrun.com.au/bega/,Saturday,,5 km,parkrun
belairnationalpark,Belair National Park parkrun,Belair National Park,South Australia,Belair,-35.011616,138.636344,Australia,australia,https://www.parkrun.com.au/belairnationalpark/,Saturday,,5 km,parkrun
bellerive,Bellerive parkrun,Bellerive Beach Park,Tasmania,Bellerive,-42.878181,147.37175,Australia,australia,https://www.parkrun.com.au/bellerive/,Saturday,,5 km,parkrun
bellevuepark-juniors,Bellevue Park junior parkrun,Bellevue Park State School,Queensland,Southport,-27.994529,153.396886,Australia,australia,https://www.parkrun.com.au/bellevuepark-juniors/,Sunday,,2 km,junior parkrun
bellsparade,Bells Parade parkrun,Bells Parade,Tasmania,Latrobe,-41.228831,146.401326,Australia,australia,https://www.parkrun.com.au/bellsparade/,Saturday,,5 km,parkrun
belvedere,Belvedere parkrun,Belvedere,Victoria,Carrum Downs,-38.105426,145.155851,Australia,australia,https://www.parkrun.com.au/belvedere/,Saturday,,5 km,parkrun
benallabotanicalgardens,Benalla Botanical Gardens parkrun,Benalla Botanical Gardens,Victoria,Benalla,-36.553856,145.977439,Australia,australia,https://www.parkrun.com.au/benallabotanicalgardens/,Saturday,,5 km,parkrun
bendigobotanicgardens,Bendigo Botanic Gardens parkrun,Bendigo Botanic Gardens,Victoria,White Hills,-36.725618,144.305636,Australia,australia,https://www.parkrun.com.au/bendigobotanicgardens/,Saturday,,5 km,parkrun
berrinba,Berrinba parkrun,Berrinba Wetlands,Queensland,Woodridge,-27.665606,153.077193,Australia,australia,https://www.parkrun.com.au/berrinba/,Saturday,,5 km,parkrun
berwicksprings,Berwick Springs parkrun,Berwick Springs Promenade,Victoria,Narre Warren South,-38.062069,145.322932,Australia,australia,https://www.parkrun.com.au/berwicksprings/,Saturday,,5 km,parkrun
berwickwaters,Berwick Waters parkrun,Berwick Waters Playground,Victoria,Berwick,-38.078218,145.342965,Australia,australia,https://www.parkrun.com.au/berwickwaters/,Saturday,,5 km,parkrun
bibralake,Bibra Lake parkrun,Bibra Lake Reserve,Western Australia,Bibra Lake,-32.093955,115.820636,Australia,australia,https://www.parkrun.com.au/bibralake/,Saturday,,5 km,parkrun
billrosesportscomplex,Bill Rose Sports Complex parkrun,Bill Rose Sports Complex,New South Wales,Muswellbrook,-32.054009,150.856114,Australia,australia,https://www.parkrun.com.au/billrosesportscomplex/,Saturday,,5 km,parkrun
bindapark,Binda Park parkrun,Binda Park,Queensland,Moranbah,-22.004623,148.037729,Australia,australia,https://www.parkrun.com.au/bindapark/,Saturday,,5 km,parkrun
birdslandreserve,Birdsland Reserve parkrun,Birdsland Reserve,Victoria,Belgrave South,-37.923408,145.335724,Australia,australia,https://www.parkrun.com.au/birdslandreserve/,Saturday,,5 km,parkrun
birtinyaisland,Birtinya Island parkrun,Birtinya Island,Queensland,Dicky Beach,-26.74229,153.120471,Australia,australia,https://www.parkrun.com.au/birtinyaisland/,Saturday,,5 km,parkrun
blackswanlake,Black Swan Lake parkrun,Black Swan Lake,Western Australia,Lakelands,-32.47418,115.774806,Australia,australia,https://www.parkrun.com.au/blackswanlake/,Saturday,,5 km,parkrun
blackbutt,Blackbutt parkrun,Richley Recreation Reserve,New South Wales,New Lambton Heights,-32.932526,151.699755,Australia,australia,https://www.parkrun.com.au/blackbutt/,Saturday,,5 km,parkrun
bluegumhills,Blue Gum Hills parkrun,Blue Gum Hills Regional Park,New South Wales,Holmesville,-32.884131,151.620206,Australia,australia,https://www.parkrun.com.au/bluegumhills/,Saturday,,5 km,parkrun
bongilbongil,Bongil Bongil parkrun,Bongil Picnic Area,New South Wales,Bonville,-30.372884,153.066759,Australia,australia,https://www.parkrun.com.au/bongilbongil/,Saturday,,5 km,parkrun
bourkeracecourse,Bourke Racecourse parkrun,Bourke Racecourse,New South Wales,Bourke,-30.09756,145.92572,Australia,australia,https://www.parkrun.com.au/bourkeracecourse/,Saturday,,5 km,parkrun
bowen,Bowen parkrun,Bowen,Queensland,Bowen,-19.985467,148.257052,Australia,australia,https://www.parkrun.com.au/bowen/,Saturday,,5 km,parkrun
braidwoodshowground,Braidwood Showground parkrun,Braidwood Showground,New South Wales,Braidwood,-35.422759,149.791222,Australia,australia,https://www.parkrun.com.au/braidwoodshowground/,Saturday,,5 km,parkrun
breenavenuewalkingtrack,Breen Avenue Walking Track parkrun,Breen Avenue Walking Track,Victoria,Kyabram,-36.313671,145.053225,Australia,australia,https://www.parkrun.com.au/breenavenuewalkingtrack/,Saturday,,5 km,parkrun
bright,Bright parkrun,Mystic Plantation,Victoria,Mount Beauty,-36.743803,146.978,Australia,australia,https://www.parkrun.com.au/bright/,Saturday,,5 km,parkrun
brightwater,Brightwater parkrun,Brightwater Sports Ground,Queensland,Mooloolaba,-26.709852,153.106718,Australia,australia,https://www.parkrun.com.au/brightwater/,Saturday,,5 km,parkrun
brimbank,Brimbank parkrun,Brimbank Park,Victoria,Keilor,-37.727547,144.834123,Australia,australia,https://www.parkrun.com.au/brimbank/,Saturday,,5 km,parkrun
brisbanevalleyrailtrail,"Brisbane Valley Rail Trail parkrun, Blackbutt",Brisbane Valley Rail Trail,Queensland,Yarraman,-26.882628,152.102115,Australia,australia,https://www.parkrun.com.au/brisbanevalleyrailtrail/,Saturday,,5 km,parkrun
broadbeachwaters,Broadbeach Waters parkrun,Monaco Street,Queensland,Surfers Paradise,-28.018497,153.412292,Australia,australia,https://www.parkrun.com.au/broadbeachwaters/,Saturday,,5 km,parkrun
brokenhillracecourse,Broken Hill Racecourse parkrun,Broken Hill Racecourse,New South Wales,Broken Hill,-31.911528,141.483931,Australia,australia,https://www.parkrun.com.au/brokenhillracecourse/,Saturday,,5 km,parkrun
bunbury,Bunbury parkrun,Big Swamp Wildlife Park,Western Australia,Bunbury,-33.342966,115.633228,Australia,australia,https://www.parkrun.com.au/bunbury/,Saturday,,5 km,parkrun
bundaberg,Bundaberg parkrun,Queens Park,Queensland,Bundaberg,-24.86835,152.330781,Australia,australia,https://www.parkrun.com.au/bundaberg/,Saturday,,5 km,parkrun
bungendorecommon,Bungendore Common parkrun,Bungendore Common,New South Wales,Bungendore,-35.250379,149.446987,Australia,australia,https://www.parkrun.com.au/bungendorecommon/,Saturday,,5 km,parkrun
bunyaville,Bunyaville parkrun,James Drysdale Recreational Conservation Centre,Queensland,Ferny Hills,-27.377306,152.949138,Australia,australia,https://www.parkrun.com.au/bunyaville/,Saturday,,5 km,parkrun
burleygriffin,Burley Griffin parkrun,Weston Park,Australian Capital Territory,Acton,-35.292148,149.088585,Australia,australia,https://www.parkrun.com.au/burleygriffin/,Saturday,,5 km,parkrun
burnie,Burnie parkrun,Burnie Foreshore,Tasmania,Burnie,-41.049194,145.905,Australia,australia,https://www.parkrun.com.au/burnie/,Saturday,,5 km,parkrun
burrumheadsbeach,Burrum Heads Beach parkrun,Burrum Heads Beach,Queensland,Urraween,-25.204584,152.630279,Australia,australia,https://www.parkrun.com.au/burrumheadsbeach/,Saturday,,5 km,parkrun
burswoodpeninsula,Burswood Peninsula parkrun,Burswood Peninsular,Western Australia,Burswood,-31.95306,115.887561,Australia,australia,https://www.parkrun.com.au/burswoodpeninsula/,Saturday,,5 km,parkrun
cairns,Cairns parkrun,Cairns Esplanade,Queensland,Cairns,-16.904574,145.763211,Australia,australia,https://www.parkrun.com.au/cairns/,Saturday,,5 km,parkrun
calamvale,Calamvale parkrun,Calamvale District Park,Queensland,Sunnybank Hills,-27.620775,153.039287,Australia,australia,https://www.parkrun.com.au/calamvale/,Saturday,,5 km,parkrun
calembeen,Calembeen parkrun,Calembeen Park,Victoria,Brown Hill,-37.419365,143.889512,Australia,australia,https://www.parkrun.com.au/calembeen/,Saturday,,5 km,parkrun
calleya,Calleya parkrun,Treeby,Western Australia,Success,-32.126604,115.876176,Australia,australia,https://www.parkrun.com.au/calleya/,Saturday,,5 km,parkrun
cameronparkwellington,"Cameron Park parkrun, Wellington","Cameron Park, Wellington",New South Wales,Wellington,-32.552493,148.941498,Australia,australia,https://www.parkrun.com.au/cameronparkwellington/,Saturday,,5 km,parkrun
campaspe,Campaspe parkrun,Campaspe Park,Victoria,Sunbury,-37.354683,144.531445,Australia,australia,https://www.parkrun.com.au/campaspe/,Saturday,,5 km,parkrun
campbelltown,Campbelltown parkrun,Hurricane Drive,New South Wales,Leumeah,-34.018301,150.814819,Australia,australia,https://www.parkrun.com.au/campbelltown/,Saturday,,5 km,parkrun
canningriver,Canning River parkrun,Canning River Regional Park,Western Australia,Wilson,-32.020912,115.92266,Australia,australia,https://www.parkrun.com.au/canningriver/,Saturday,,5 km,parkrun
capalaba,Capalaba parkrun,Capalaba Regional Park,Queensland,Chandler,-27.521405,153.186858,Australia,australia,https://www.parkrun.com.au/capalaba/,Saturday,,5 km,parkrun
capestonelake,Capestone Lake parkrun,Capestone Lake,Queensland,Mango Hill,-27.233548,153.039406,Australia,australia,https://www.parkrun.com.au/capestonelake/,Saturday,,5 km,parkrun
cardwell,Cardwell parkrun,Cardwell,Queensland,Ingham,-18.263036,146.025909,Australia,australia,https://www.parkrun.com.au/cardwell/,Saturday,,5 km,parkrun
carineglades,Carine Glades parkrun,Carine Regional Open Space,Western Australia,Karrinyup,-31.853621,115.789061,Australia,australia,https://www.parkrun.com.au/carineglades/,Saturday,,5 km,parkrun
carisbrooke,Carisbrooke parkrun,Carisbrooke Park,South Australia,Elizabeth,-34.754627,138.677757,Australia,australia,https://www.parkrun.com.au/carisbrooke/,Saturday,,5 km,parkrun
cascadesonclydewetlands,Cascades on Clyde Wetlands parkrun,Cascades on Clyde Wetlands,Victoria,Cranbourne East,-38.100383,145.325835,Australia,australia,https://www.parkrun.com.au/cascadesonclydewetlands/,Saturday,,5 km,parkrun
castlemaine,Castlemaine parkrun,Castlemaine Botanical Gardens,Victoria,Castlemaine,-37.050794,144.217649,Australia,australia,https://www.parkrun.com.au/castlemaine/,Saturday,,5 km,parkrun
casulaparklands,Casula Parklands parkrun,Casula Parklands,New South Wales,Glenfield,-33.948703,150.91369,Australia,australia,https://www.parkrun.com.au/casulaparklands/,Saturday,,5 km,parkrun
centenary,Centenary parkrun,Centenary Park,Queensland,Tieri,-22.81841,147.642912,Australia,australia,https://www.parkrun.com.au/centenary/,Saturday,,5 km,parkrun
centennialparkdunsborough,"Centennial Park parkrun, Dunsborough","Centennial Park, Dunsborough",Western Australia,Quindalup,-33.615733,115.112646,Australia,australia,https://www.parkrun.com.au/centennialparkdunsborough/,Saturday,,5 km,parkrun
centennial,Centennial parkrun,Centennial Park,New South Wales,Woollahra,-33.898808,151.228564,Australia,australia,https://www.parkrun.com.au/centennial/,Saturday,,5 km,parkrun
centrallakes,Central Lakes parkrun,Central Lakes Drive,Queensland,Caboolture,-27.07755,152.973187,Australia,australia,https://www.parkrun.com.au/centrallakes/,Saturday,,5 km,parkrun
chaffeypark,Chaffey Park parkrun,Chaffey Park,New South Wales,Manilla,-30.743124,150.73018,Australia,australia,https://www.parkrun.com.au/chaffeypark/,Saturday,,5 km,parkrun
championlakes,Champion Lakes parkrun,Champion Lakes,Western Australia,Gosnells,-32.106314,115.999535,Australia,australia,https://www.parkrun.com.au/championlakes/,Saturday,,5 km,parkrun
charlestonsouthaustralia,"Charleston parkrun, South Australia",Amy Gillett Trail,South Australia,Lobethal,-34.916841,138.903161,Australia,australia,https://www.parkrun.com.au/charlestonsouthaustralia/,Saturday,,5 km,parkrun
